"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.96253582251527,0.8,0.015,0,"16","BANK1"
0,7.96027319005286,0.641,0.007,0,"16","TNFRSF13C"
0,7.89167832273628,0.955,0.016,0,"16","CD79A"
0,7.83226052840127,0.503,0.007,0,"16","LINC00926"
0,7.81489527176253,0.92,0.014,0,"16","MS4A1"
0,7.50280085853191,0.362,0.003,0,"16","BLK"
0,6.77080914879044,0.373,0.002,0,"16","IGHD"
0,6.54898622808256,0.303,0.006,0,"16","TNFRSF13B"
0,12.5093696133955,0.994,0.004,0,"17","TPSAB1"
0,12.2057492137389,0.994,0.002,0,"17","CPA3"
0,12.2023084705833,0.995,0.006,0,"17","TPSB2"
0,11.8977979470459,0.937,0.001,0,"17","MS4A2"
0,11.3204977015866,0.358,0.001,0,"17","ADCYAP1"
0,11.0912316747448,0.768,0.001,0,"17","HDC"
0,11.0755547635993,0.282,0,0,"17","TPSD1"
0,10.8830569686018,0.511,0.002,0,"17","CTSG"
0,10.7267219299468,0.76,0.001,0,"17","SLC18A2"
0,10.6184054095772,0.605,0.001,0,"17","AL157895.1"
1.98195100688715e-187,3.60950627274055,0.276,0.025,6.64706728689813e-183,"18","MT1H"
6.11996747880048e-178,2.96446693875393,0.425,0.06,2.0525146930401e-173,"18","MT1G"
4.57559608044379e-133,2.96243723521251,0.396,0.067,1.53456341345924e-128,"18","SLC17A3"
4.43790741082173e-150,2.92933213001922,0.519,0.104,1.48838538744139e-145,"18","NAT8"
1.17669967808987e-100,2.8355691722313,0.411,0.091,3.94641538037782e-96,"18","SLC22A2"
5.69539502649974e-120,2.76168977418036,0.361,0.061,1.91012158398748e-115,"18","GSTA1"
2.98195282248276e-177,2.7227616906969,0.557,0.101,1.00008733760427e-172,"18","TSPAN1"
1.95624458982841e-148,2.71438578161134,0.569,0.124,6.56085310536652e-144,"18","SLC3A1"
1.9328170106156e-83,2.65287720356829,0.378,0.089,6.4822816902026e-79,"18","LRP2"
1.46109077203158e-116,2.6272831027417,0.352,0.06,4.90020623123953e-112,"18","REG1A"
